"filename", "language", "PHP", "CSS", "JavaScript", "XML", "Markdown", "JSON", "comment", "blank", "total"
"d:\Proyectos Laravel\iglesia-microservicio-php\resources\views\components\dropdown.blade.php", "PHP", 39, 0, 0, 0, 0, 0, 0, 5, 44
"d:\Proyectos Laravel\iglesia-microservicio-php\resources\views\components\input-label.blade.php", "PHP", 4, 0, 0, 0, 0, 0, 0, 2, 6
"d:\Proyectos Laravel\iglesia-microservicio-php\resources\views\components\nav-link.blade.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 3, 12
"d:\Proyectos Laravel\iglesia-microservicio-php\resources\views\components\primary-button.blade.php", "PHP", 3, 0, 0, 0, 0, 0, 0, 1, 4
"d:\Proyectos Laravel\iglesia-microservicio-php\resources\views\components\responsive-nav-link.blade.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 3, 12
"d:\Proyectos Laravel\iglesia-microservicio-php\resources\views\components\text-input.blade.php", "PHP", 2, 0, 0, 0, 0, 0, 0, 2, 4
"d:\Proyectos Laravel\iglesia-microservicio-php\resources\views\dashboard.blade.php", "PHP", 104, 0, 0, 0, 0, 0, 0, 16, 120
"d:\Proyectos Laravel\iglesia-microservicio-php\resources\views\layouts\app.blade.php", "PHP", 43, 0, 0, 0, 0, 0, 0, 8, 51
"d:\Proyectos Laravel\iglesia-microservicio-php\resources\views\layouts\guest.blade.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 4, 22
"d:\Proyectos Laravel\iglesia-microservicio-php\resources\views\layouts\navigation.blade.php", "PHP", 115, 0, 0, 0, 0, 0, 0, 12, 127
"d:\Proyectos Laravel\iglesia-microservicio-php\resources\views\welcome.blade.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 6, 30
"d:\Proyectos Laravel\iglesia-microservicio-php\routes\api.php", "PHP", 52, 0, 0, 0, 0, 0, 12, 8, 72
"d:\Proyectos Laravel\iglesia-microservicio-php\routes\auth.php", "PHP", 41, 0, 0, 0, 0, 0, 0, 16, 57
"d:\Proyectos Laravel\iglesia-microservicio-php\routes\channels.php", "PHP", 5, 0, 0, 0, 0, 0, 10, 4, 19
"d:\Proyectos Laravel\iglesia-microservicio-php\routes\console.php", "PHP", 6, 0, 0, 0, 0, 0, 10, 4, 20
"d:\Proyectos Laravel\iglesia-microservicio-php\routes\web.php", "PHP", 14, 0, 0, 0, 0, 0, 10, 6, 30
"d:\Proyectos Laravel\iglesia-microservicio-php\tailwind.config.js", "JavaScript", 0, 0, 16, 0, 0, 0, 2, 4, 22
"d:\Proyectos Laravel\iglesia-microservicio-php\tests\CreatesApplication.php", "PHP", 12, 0, 0, 0, 0, 0, 5, 6, 23
"d:\Proyectos Laravel\iglesia-microservicio-php\tests\Feature\Auth\AuthenticationTest.php", "PHP", 34, 0, 0, 0, 0, 0, 0, 12, 46
"d:\Proyectos Laravel\iglesia-microservicio-php\tests\Feature\Auth\EmailVerificationTest.php", "PHP", 50, 0, 0, 0, 0, 0, 0, 16, 66
"d:\Proyectos Laravel\iglesia-microservicio-php\tests\Feature\Auth\PasswordConfirmationTest.php", "PHP", 32, 0, 0, 0, 0, 0, 0, 13, 45
"d:\Proyectos Laravel\iglesia-microservicio-php\tests\Feature\Auth\PasswordResetTest.php", "PHP", 50, 0, 0, 0, 0, 0, 0, 22, 72
"d:\Proyectos Laravel\iglesia-microservicio-php\tests\Feature\Auth\RegistrationTest.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 8, 33
"d:\Proyectos Laravel\iglesia-microservicio-php\tests\Feature\ExampleTest.php", "PHP", 11, 0, 0, 0, 0, 0, 6, 5, 22
"d:\Proyectos Laravel\iglesia-microservicio-php\tests\TestCase.php", "PHP", 7, 0, 0, 0, 0, 0, 0, 4, 11
"d:\Proyectos Laravel\iglesia-microservicio-php\tests\Unit\ExampleTest.php", "PHP", 10, 0, 0, 0, 0, 0, 5, 4, 19
"d:\Proyectos Laravel\iglesia-microservicio-php\vendor\spatie\ignition\resources\compiled\ignition.css", "CSS", 0, 1, 0, 0, 0, 0, 2, 0, 3
"d:\Proyectos Laravel\iglesia-microservicio-php\vendor\spatie\ignition\resources\compiled\ignition.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 1, 7
"d:\Proyectos Laravel\iglesia-microservicio-php\vite.config.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 2, 15
"Total", "-", 3315, 173, 152, 31, 44, 12639, 1529, 949, 18832
